param layers_in_out:;MEC_DRIVE;OTHERS_ELEC;FOOD_COOLING;SPACE_COOLING;PROCESS_COOLING;LIGHT;HEAT_RES;ELECTRICITY;GASOLINE;DIESEL;LFO;GAS;WOOD;WET_BIOMASS;COAL;URANIUM;WASTE;H2;AMMONIA;METHANOL;HVC;HEAT_HIGH_T;HEAT_LOW_T_DHN;HEAT_LOW_T_DECEN;MOB_PUBLIC;MOB_PRIVATE;MOB_FREIGHT_RAIL;MOB_FREIGHT_ROAD;MOB_FREIGHT_BOAT;RES_WIND;RES_SOLAR;RES_HYDRO;RES_GEO ;CO2_ATM ;CO2_INDUSTRY;CO2_CAPTURED
METHANOL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AMMONIA_RE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
METHANOL_RE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ELEC_EXPORT;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CO2_EMISSIONS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0
RES_WIND;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
RES_SOLAR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
RES_HYDRO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
RES_GEO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
CO2_ATM ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
CO2_INDUSTRY ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
CO2_CAPTURED;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
NUCLEAR;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;-3.03030303;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CCGT;0;0;0;0;0;0;0;1;0;0;0;-1.720740814;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.31746;0
CCGT_AMMONIA;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;-2.501694916;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COAL_US;0;0;0;0;0;0;0;1;0;0;0;0;0;0;-2.336084824;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.734688;0
COAL_IGCC;0;0;0;0;0;0;0;1;0;0;0;0;0;0;-2.119852747;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.666684;0
PV;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0
WIND_ONSHORE;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0
WIND_OFFSHORE;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0
HYDRO_RIVER;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0
GEOTHERMAL;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0
IND_COGEN_GAS;0;0;0;0;0;0;0;1.52477933;0;0;0;-3.638408769;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.693093107;0
IND_COGEN_WOOD;0;0;0;0;0;0;0;0.541364412;0;0;0;0;-3.338649807;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1.173039121;0
IND_COGEN_WASTE;0;0;0;0;0;0;0;0.708428577;0;0;0;0;0;0;0;0;-3.55305731;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.921040045;0
IND_BOILER_GAS;0;0;0;0;0;0;0;0;0;0;0;-1.805061805;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.343852485;0
IND_BOILER_WOOD;0;0;0;0;0;0;0;0;0;0;0;0;-2.066425948;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.719192101;0
IND_BOILER_OIL;0;0;0;0;0;0;0;0;0;0;-1.955090951;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.475026548;0
IND_BOILER_COAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-2.080301383;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.699852192;0
IND_BOILER_WASTE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1.962548475;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.505448805;0
IND_DIRECT_ELEC;0;0;0;0;0;0;0;-1.594123711;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DHN_HP_ELEC;0;0;0;0;0;0;0;-2.470549937;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
DHN_COGEN_GAS;0;0;0;0;0;0;0;11.47610294;0;0;0;-24.09763025;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4.590441176;0
DHN_COGEN_WOOD;0;0;0;0;0;0;0;3.117827647;0;0;0;0;-19.22796259;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;6.755770641;0
DHN_COGEN_WASTE;0;0;0;0;0;0;0;4.079984118;0;0;0;0;0;0;0;0;-20.46277897;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;5.304456759;0
DHN_COGEN_WET_BIOMASS;0;0;0;0;0;0;0;7.587506077;0;0;0;0;0;-65.21333022;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;22.8444633;0
DHN_COGEN_BIO_HYDROLYSIS;0;0;0;0;0;0;0;6.961027215;0;0;0;0;0;-30.51122479;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;10.68819139;0
DHN_BOILER_GAS;0;0;0;0;0;0;0;0;0;0;0;-10.39571769;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1.980316324;0
DHN_BOILER_WOOD;0;0;0;0;0;0;0;0;0;0;0;0;-11.9009669;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4.141973435;0
DHN_BOILER_OIL;0;0;0;0;0;0;0;0;0;0;-11.25976603;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2.735774409;0
DHN_DEEP_GEO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;-9.180882353;0;0;0
DHN_SOLAR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;-9.180882353;0;0;0;0;0
DEC_HP_ELEC;0;0;0;0;0;0;0;-3.312383679;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
DEC_THHP_GAS;0;0;0;0;0;0;0;0;0;0;0;-6.89079161;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
DEC_COGEN_GAS;0;0;0;0;0;0;0;8.831227857;0;0;0;-21.072962;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
DEC_COGEN_OIL;0;0;0;0;0;0;0;8.374201429;0;0;-22.97701279;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
DEC_ADVCOGEN_GAS;0;0;0;0;0;0;0;24.34150457;0;0;0;-43.64667023;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
DEC_ADVCOGEN_H2;0;0;0;0;0;0;0;24.34150457;0;0;0;0;0;0;0;0;0;-41.23550897;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
DEC_BOILER_GAS;0;0;0;0;0;0;0;0;0;0;0;-10.77058194;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
DEC_BOILER_WOOD;0;0;0;0;0;0;0;0;0;0;0;0;-12.17215832;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
DEC_BOILER_OIL;0;0;0;0;0;0;0;0;0;0;-11.6238629;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
DEC_SOLAR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;-9.232857143;0;0;0;0;0
DEC_DIRECT_ELEC;0;0;0;0;0;0;0;-9.232857143;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
TRAMWAY_TROLLEY;0.81;0;0;0;0;0;0;-0.070382379;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
BUS_COACH_DIESEL;0.21;0;0;0;0;0;0;0;0;-0.30880459;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
BUS_COACH_HYDIESEL;0.27;0;0;0;0;0;0;0;0;-0.241113157;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
BUS_COACH_CNG_STOICH;0.21;0;0;0;0;0;0;0;0;0;0;-0.311785557;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
BUS_COACH_FC_HYBRIDH2;0.24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.270017486;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
TRAIN_PUB;0.81;0;0;0;0;0;0;-0.072972451;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
CAR_GASOLINE;0.18;0;0;0;0;0;0;0;-0.589521345;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
CAR_DIESEL;0.21;0;0;0;0;0;0;0;0;-0.505602092;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
CAR_NG;0.26;0;0;0;0;0;0;0;0;0;0;-0.401234568;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
CAR_METHANOL;0.21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.50415198;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
CAR_HEV;0.26;0;0;0;0;0;0;0;-0.41014848;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
CAR_PHEV;0.37;0;0;0;0;0;0;-0.156843876;-0.131336228;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
CAR_BEV;0.54;0;0;0;0;0;0;-0.195011338;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
CAR_FUEL_CELL;0.43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.248710291;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
TRAIN_FREIGHT;0.81;0;0;0;0;0;0;-0.076913864;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
BOAT_FREIGHT_DIESEL;0.20;0;0;0;0;0;0;0;0;-0.124452321;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
BOAT_FREIGHT_NG;0.17;0;0;0;0;0;0;0;0;0;0;-0.143202478;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
BOAT_FREIGHT_METHANOL;0.19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.132264881;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
TRUCK_DIESEL;0.21;0;0;0;0;0;0;0;0;-0.596208035;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
TRUCK_METHANOL;0.20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.633635306;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
TRUCK_FUEL_CELL;0.24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.526863388;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
TRUCK_ELEC;0.45;0;0;0;0;0;0;-0.280403399;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
TRUCK_NG;0.18;0;0;0;0;0;0;0;0;0;0;-0.686906195;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
EFFICIENCY;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DHN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GRID;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
H2_ELECTROLYSIS;0;0;0;0;0;0;0;-1.138286938;0;0;0;0;0;0;0;0;0;1;0;0;0;-0.126009145;0.004375923;0;0;0;0;0;0;0;0;0;0;0;0;0
SMR;0;0;0;0;0;0;0;0;0;0;0;-1.444392168;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.277767725;0
H2_BIOMASS;0;0;0;0;0;0;0;0;0;0;0;0;-2.627063252;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.917735728;0
GASIFICATION_SNG;0;0;0;0;0;0;0;0;0;0;0;1;-1.772048738;0;0;0;0;0;0;0;0;0;0.035399648;0;0;0;0;0;0;0;0;0;0;0;0.384629808;0
SYN_METHANATION;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;-1.133708723;0;0;0;0;0.030896142;0;0;0;0;0;0;0;0;0;0;0;0;-0.192307692
BIOMETHANATION;0;0;0;0;0;0;0;0;0;0;0;1;0;-3.571425;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.062517308;0
BIO_HYDROLYSIS;0;0;0;0;0;0;0;0.090925623;0;0;0;1;0;-2.523186034;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.694217131;0
PYROLYSIS_TO_LFO;0;0;0;0;0;0;0;0.02245283;0;0;1;0;-1.581593287;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.307229245;0
PYROLYSIS_TO_FUELS;0;0;0;0;0;0;0;0.024150943;1;0.456;0;0;-2.673026411;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.581792453;0
ATM_CCS;0;0;0;0;0;0;0;-1.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;1
INDUSTRY_CCS;0;0;0;0;0;0;0;-0.233;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0.9
SYN_METHANOLATION;0;0;0;0;0;0;0;-0.035938061;0;0;0;0;0;0;0;0;0;-1.294038096;0;1;0;0;0.009235103;0;0;0;0;0;0;0;0;0;0;0;0;-0.250717653
METHANE_TO_METHANOL;0;0;0;0;0;0;0;0;0;0;0;-1.622667429;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.061333776;0
BIOMASS_TO_METHANOL;0;0;0;0;0;0;0;0.032916327;0;0;0;0;-1.837379488;0;0;0;0;0;0;1;0;0;0.039438653;0;0;0;0;0;0;0;0;0;0;0;0.391150719;0
HABER_BOSCH;0;0;0;0;0;0;0;-0.10212766;0;0;0;0;0;0;0;0;0;-0.925232286;1;0;0;0;0.012166791;0;0;0;0;0;0;0;0;0;0;0;0;0
AMMONIA_TO_H2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;-1.998970246;0;0;-0.09576695;0.011085671;0;0;0;0;0;0;0;0;0;0;0;0;0
OIL_TO_HVC;0;0;0;0;0;0;0;-0.0211887;0;0;-1.927272727;0;0;0;0;0;0;0;0;0;1;-0.010803567;0;0;0;0;0;0;0;0;0;0;0;0;0.212727273;0
GAS_TO_HVC;0;0;0;0;0;0;0;-0.470588235;0;0;0;-2.905396826;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.298730159;0
BIOMASS_TO_HVC;0;0;0;0;0;0;0;-0.0286;0;0;0;0;-2.658134136;0;0;0;0;0;0;0;1;-0.032619802;0;0;0;0;0;0;0;0;0;0;0;0;0.66859;0
METHANOL_TO_HVC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1.216332236;1;-0.207010283;0;0;0;0;0;0;0;0;0;0;0;0;0;0
